Time [s], Analyzer Name, Decoded Protocol Result
0.000001760000000,SPI,MOSI: '129' (0x81);  MISO: '0' (0x00)
0.000005480000000,SPI,MOSI: '0' (0x00);  MISO: '4' (0x04)
0.000010000000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000014520000000,SPI,MOSI: '0' (0x00);  MISO: '26' (0x1A)
0.000019040000000,SPI,MOSI: '210' (0xD2);  MISO: '11' (0x0B)
0.000023560000000,SPI,MOSI: '14' (0x0E);  MISO: '0' (0x00)
0.000028080000000,SPI,MOSI: E (0x45);  MISO: R (0x52)
0.000032600000000,SPI,MOSI: '229' (0xE5);  MISO: '228' (0xE4)
0.000037120000000,SPI,MOSI: @ (0x40);  MISO: '192' (0xC0)
0.000041640000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000046200000000,SPI,MOSI: A (0x41);  MISO: A (0x41)
0.000050720000000,SPI,MOSI: @ (0x40);  MISO: '0' (0x00)
0.000055240000000,SPI,MOSI: '0' (0x00);  MISO: '2' (0x02)
0.000059760000000,SPI,MOSI: '162' (0xA2);  MISO: '146' (0x92)
0.000064280000000,SPI,MOSI: '245' (0xF5);  MISO: '245' (0xF5)
0.000068800000000,SPI,MOSI: ' ' (0x20);  MISO: ' ' (0x20)
0.000073320000000,SPI,MOSI: ! (0x21);  MISO: # (0x23)
0.000077840000000,SPI,MOSI: '159' (0x9F);  MISO: '159' (0x9F)
0.000082360000000,SPI,MOSI: '15' (0x0F);  MISO: \t (0x09)
0.000086920000000,SPI,MOSI: '27' (0x1B);  MISO: '26' (0x1A)
0.000091440000000,SPI,MOSI: @ (0x40);  MISO: @ (0x40)
0.000095960000000,SPI,MOSI: '176' (0xB0);  MISO: '176' (0xB0)
0.000100480000000,SPI,MOSI: { (0x7B);  MISO: { (0x7B)
0.000105000000000,SPI,MOSI: '155' (0x9B);  MISO: '155' (0x9B)
0.000109520000000,SPI,MOSI: '137' (0x89);  MISO: '0' (0x00)
0.000114040000000,SPI,MOSI: @ (0x40);  MISO: '134' (0x86)
0.000118560000000,SPI,MOSI: @ (0x40);  MISO: '138' (0x8A)
0.000123080000000,SPI,MOSI: @ (0x40);  MISO: @ (0x40)
0.000127600000000,SPI,MOSI: '128' (0x80);  MISO: '128' (0x80)
0.000132120000000,SPI,MOSI: '6' (0x06);  MISO: '6' (0x06)
0.000136640000000,SPI,MOSI: '16' (0x10);  MISO: '0' (0x00)
0.000141120000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000145640000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000150160000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000154680000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000159200000000,SPI,MOSI: \n (0x0A);  MISO: '0' (0x00)
0.000163720000000,SPI,MOSI: '255' (0xFF);  MISO: '0' (0x00)
0.000168280000000,SPI,MOSI: '6' (0x06);  MISO: '0' (0x00)
0.000172800000000,SPI,MOSI: '247' (0xF7);  MISO: '5' (0x05)
0.000177320000000,SPI,MOSI: '128' (0x80);  MISO: '128' (0x80)
0.000181840000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000186360000000,SPI,MOSI: '228' (0xE4);  MISO: '255' (0xFF)
0.000190880000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000195400000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000199920000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000204480000000,SPI,MOSI: '3' (0x03);  MISO: '3' (0x03)
0.000209000000000,SPI,MOSI: '144' (0x90);  MISO: '152' (0x98)
0.000213520000000,SPI,MOSI: '133' (0x85);  MISO: '0' (0x00)
0.000218040000000,SPI,MOSI: '133' (0x85);  MISO: '0' (0x00)
0.000222560000000,SPI,MOSI: '133' (0x85);  MISO: '0' (0x00)
0.000227080000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000231600000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000236120000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000240640000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000245160000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000249680000000,SPI,MOSI: '0' (0x00);  MISO: '16' (0x10)
0.000254200000000,SPI,MOSI: '5' (0x05);  MISO: @ (0x40)
0.000258760000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000263280000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000267800000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000272320000000,SPI,MOSI: '4' (0x04);  MISO: '15' (0x0F)
0.000276840000000,SPI,MOSI: '0' (0x00);  MISO: '2' (0x02)
0.000281360000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000285880000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000290440000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000294920000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000299440000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000304000000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000308520000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000313040000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000317560000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000322080000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000326600000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000331120000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000335640000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000340160000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000344680000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000349240000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000353760000000,SPI,MOSI: '0' (0x00);  MISO: '1' (0x01)
0.000358280000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)

0.000368760000000,SPI,MOSI: '216' (0xD8);  MISO: '0' (0x00)
0.000372440000000,SPI,MOSI: - (0x2D);  MISO: '27' (0x1B)

0.000429760000000,SPI,MOSI: '135' (0x87);  MISO: '0' (0x00)
0.000433440000000,SPI,MOSI: '227' (0xE3);  MISO: '228' (0xE4)
0.000438000000000,SPI,MOSI: @ (0x40);  MISO: '192' (0xC0)
0.000442520000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
