Time [s], Analyzer Name, Decoded Protocol Result
0.000001800000000,SPI,MOSI: '129' (0x81);  MISO: } (0x7D)
0.000005480000000,SPI,MOSI: '12' (0x0C);  MISO: '0' (0x00)
0.000038040000000,SPI,MOSI: '184' (0xB8);  MISO: } (0x7D)
0.000041720000000,SPI,MOSI: '5' (0x05);  MISO: '5' (0x05)
0.000046240000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000050800000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000055320000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000059840000000,SPI,MOSI: '4' (0x04);  MISO: '4' (0x04)
0.000070920000000,SPI,MOSI: '128' (0x80);  MISO: } (0x7D)
0.000074640000000,SPI,MOSI: } (0x7D);  MISO: } (0x7D)
0.000079160000000,SPI,MOSI: ( (0x28);  MISO: } (0x7D)
0.000083680000000,SPI,MOSI: '12' (0x0C);  MISO: } (0x7D)
0.000088240000000,SPI,MOSI: \r (0x0D);  MISO: } (0x7D)
0.000092760000000,SPI,MOSI: '190' (0xBE);  MISO: } (0x7D)
0.000711320000000,SPI,MOSI: '135' (0x87);  MISO: '190' (0xBE)
0.000715000000000,SPI,MOSI: '230' (0xE6);  MISO: '227' (0xE3)
0.000719560000000,SPI,MOSI: ' ' (0x20);  MISO: @ (0x40)
0.000730040000000,SPI,MOSI: '174' (0xAE);  MISO: '0' (0x00)
0.000733760000000,SPI,MOSI: '136' (0x88);  MISO: '144' (0x90)
0.000738280000000,SPI,MOSI: } (0x7D);  MISO: '133' (0x85)
0.000742800000000,SPI,MOSI: ( (0x28);  MISO: '133' (0x85)
0.000747320000000,SPI,MOSI: '12' (0x0C);  MISO: '133' (0x85)
0.000751880000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000756400000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000760920000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000765440000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000770000000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000774520000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000779040000000,SPI,MOSI: '7' (0x07);  MISO: '5' (0x05)
0.000792520000000,SPI,MOSI: '129' (0x81);  MISO: '0' (0x00)
0.000796200000000,SPI,MOSI: '144' (0x90);  MISO: '12' (0x0C)
0.000806680000000,SPI,MOSI: '137' (0x89);  MISO: } (0x7D)
0.000810400000000,SPI,MOSI: '0' (0x00);  MISO: '0' (0x00)
0.000820880000000,SPI,MOSI: '165' (0xA5);  MISO: } (0x7D)
0.000824560000000,SPI,MOSI: '134' (0x86);  MISO: '6' (0x06)
